reporting_period,organisation,sector,feedback_category,Feedback_channel,status,District,SubDistrict,location,LAT,LON
Feb/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang Tanjung,,-0.0670443,119.69961
Feb/19,STC,Cash Assistance ,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang Tanjung,,-0.0670443,119.69961
Feb/19,STC,Cash Assistance ,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang Tanjung,,-0.0670443,119.69961
Feb/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang Tanjung,,-0.0670443,119.69961
Feb/19,STC,Food Security and Livelihoods,Information/Report,Suggestion Box,Closed,Donggala,Balaesang Tanjung,,-0.0670443,119.69961
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Education,Request for Assistances,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Health and Nutrition,Request for Assistances,Other Channels,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Food Security and Livelihoods,Question,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Food Security and Livelihoods,Information/Report,Other Channels,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Shelter and NFI,Request for Assistances,Other Channels,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Health and Nutrition,Thank you note,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Education,Request for Assistances,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Education,Request for Assistances,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Education,Request for Assistances,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Cash Assistance ,Request for Assistances,Face to face,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Cash Assistance ,Request for Assistances,Phone Call/Hotline,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Education,Thank you note,Phone Call/Hotline,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Cash Assistance ,Request for Assistances,Phone Call/Hotline,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Education,Request for Assistances,Phone Call/Hotline,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Education,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang Tanjung,,-0.0670443,119.69961
Feb/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang Tanjung,,-0.0670443,119.69961
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang Tanjung,,-0.0670443,119.69961
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang Tanjung,,-0.0670443,119.69961
Feb/19,STC,Education,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang Tanjung,,-0.0670443,119.69961
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang Tanjung,,-0.0670443,119.69961
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang Tanjung,,-0.0670443,119.69961
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang Tanjung,,-0.0670443,119.69961
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang Tanjung,,-0.0670443,119.69961
Feb/19,STC,Cash Assistance ,Thank you note,Phone Call/Hotline,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Cash Assistance ,Request for Assistances,Phone Call/Hotline,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Cash Assistance ,Thank you note,Phone Call/Hotline,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Cash Assistance ,Request for Assistances,Face to face,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Cash Assistance ,Request for Assistances,Phone Call/Hotline,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Cash Assistance ,Question,Phone Call/Hotline,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Food Security and Livelihoods,Question,Phone Call/Hotline,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Shelter and NFI,Request for Assistances,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Food Security and Livelihoods,Information/Report,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Food Security and Livelihoods,Information/Report,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Food Security and Livelihoods,Question,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Food Security and Livelihoods,Information/Report,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Food Security and Livelihoods,Information/Report,Suggestion Box,On process,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Cash Assistance ,Question,Face to face,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Cash Assistance ,Question,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Cash Assistance ,Information/Report,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Cash Assistance ,Information/Report,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Food Security and Livelihoods,Question,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Food Security and Livelihoods,Information/Report,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Cash Assistance ,Request for Assistances,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Food Security and Livelihoods,Question,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Cash Assistance ,Question,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Cash Assistance ,Question,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Mar/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Shelter and NFI,Request for Assistances,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Mar/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Food Security and Livelihoods,Information/Report,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Mar/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Cash Assistance ,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Food Security and Livelihoods,Information/Report,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Shelter and NFI,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Shelter and NFI,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Mar/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Food Security and Livelihoods,Information/Report,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,On process,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang,,-0.0255073,119.896904
Feb/19,STC,Education,Request for Assistances,Phone Call/Hotline,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Protection,Question,Suggestion Box,On process,Donggala,Sirenja,,-0.2501195,119.863615
Mar/19,STC,Cash Assistance ,Request for Assistances,Phone Call/Hotline,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Mar/19,STC,Cash Assistance ,Information/Report,Phone Call/Hotline,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Mar/19,STC,Cash Assistance ,Question,Phone Call/Hotline,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Mar/19,STC,Cash Assistance ,Request for Assistances,Phone Call/Hotline,Closed,Donggala,Sirenja,,-0.2501195,119.863615
Feb/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang Tanjung,,-0.0670443,119.69961
Feb/19,STC,Shelter and NFI,Information/Report,Suggestion Box,Closed,Donggala,Balaesang Tanjung,,-0.0670443,119.69961
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang Tanjung,,-0.0670443,119.69961
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang Tanjung,,-0.0670443,119.69961
Feb/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Donggala,Balaesang Tanjung,,-0.0670443,119.69961
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang Tanjung,,-0.0670443,119.69961
Feb/19,STC,Shelter and NFI,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang Tanjung,,-0.0670443,119.69961
Feb/19,STC,Shelter and NFI,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang Tanjung,,-0.0670443,119.69961
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang Tanjung,,-0.0670443,119.69961
Feb/19,STC,Health and Nutrition,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang Tanjung,,-0.0670443,119.69961
Feb/19,STC,Shelter and NFI,Thank you note,Suggestion Box,Closed,Donggala,Balaesang Tanjung,,-0.0670443,119.69961
Feb/19,STC,Shelter and NFI,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang Tanjung,,-0.0670443,119.69961
Feb/19,STC,Education,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang Tanjung,,-0.0670443,119.69961
Feb/19,STC,Education,Request for Assistances,Suggestion Box,Closed,Donggala,Balaesang Tanjung,,-0.0670443,119.69961
Feb/19,STC,Shelter and NFI,Thank you note,Suggestion Box,Closed,Donggala,Balaesang Tanjung,,-0.0670443,119.69961
Feb/19,STC,Food Security and Livelihoods,Information/Report,Suggestion Box,Closed,Donggala,Sirenja,,-0.2501195,119.863615
